"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALRIO Total Municipio Segundo Trimestre 2019","Promedio"
"Aguas Buenas","7","Comercio al por Mayor                    ","42","7","25","189487","7480"
"Aguas Buenas","7","Comercio al Detal                        ","44-45","31","318","1719148","5406"
"Aguas Buenas","7","Transportación y Almacenamiento           ","48-49","6","16","184022","11746"
"Aguas Buenas","7","Información                              ","51","1","*","*","*"
"Aguas Buenas","7","Finanzas y Seguros                       ","52","3","51","413282","8104"
"Aguas Buenas","7","Bienes Raíces, Renta o Arrendamiento     ","53","5","16","48622","3104"
"Aguas Buenas","7","Servicios Profesionales y Técnicos       ","54","7","23","178192","7747"
"Aguas Buenas","7","Gerencia de Companías y Empresas         ","55","0","0","0","0"
"Aguas Buenas","7","Servicios Adm. y Desperdicios Sólidos    ","56","3","23","99549","4266"
"Aguas Buenas","7","Servicios Educativos                     ","61","3","335","2455043","7328"
"Aguas Buenas","7","Servicios de Salud y Asistencia Social   ","62","23","102","641546","6310"
"Aguas Buenas","7","Arte, Entretenimiento y Recreación       ","71","3","29","114693","3955"
"Aguas Buenas","7","Alojamiento y Servicios de Alimentos     ","72","11","90","282110","3135"
"Aguas Buenas","7","Otros Servicios Excepto Adm. Pública     ","81","7","16","61300","3831"
"Aguas Buenas","7","Administración Pública                   ","92","10","373","1943229","5214"
"Aguas Buenas","7","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Aibonito","9","Total Municipio Cuarto Trimestre 2020 ","","314","5836","43875290","7518"
"Aibonito","9","Agricultura, Bosque, Pesca y Caza        ","11","27","174","673873","3865"
"Aibonito","9","Mineria                                  ","21","0","0","0","0"
"Aibonito","9","Electricidad, Agua y Gas                 ","22","2","*","*","*"
"Aibonito","9","Construcción                             ","23","9","31","119305","3849"
"Aibonito","9","Manufactura                              ","31-33","24","1419","12788246","9012"
"Aibonito","9","Alimentos                                ","311","13","*","*","*"
"Aibonito","9","Productos de Tabaco y Bebidas            ","312","2","*","*","*"
"Aibonito","9","Textiles                                 ","313","0","0","0","0"
"Aibonito","9","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Aibonito","9","Ropa                                     ","315","1","*","*","*"
"Aibonito","9","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Aibonito","9","Productos de Madera                      ","321","0","0","0","0"
"Aibonito","9","Papel                                    ","322","0","0","0","0"
"Aibonito","9","Imprenta e Industrias Relacionadas       ","323","1","*","*","*"
"Aibonito","9","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Aibonito","9","Productos Químicos                       ","325","1","*","*","*"
"Aibonito","9","Productos de Goma y Plásticos            ","326","0","0","0","0"
"Aibonito","9","Productos Minerales no Metálicos         ","327","1","*","*","*"
"Aibonito","9","Industrias de Materiales Primarios       ","331","0","0","0","0"
"Aibonito","9","Productos de Metal                       ","332","0","0","0","0"
"Aibonito","9","Maquinaria                               ","333","0","0","0","0"
"Aibonito","9","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Aibonito","9","Equipo y Aparatos Eléctricos             ","335","1","*","*","*"
"Aibonito","9","Equipo de Transportación                 ","336","1","*","*","*"
"Aibonito","9","Muebles y Productos Relacionados         ","337","2","*","*","*"
"Aibonito","9","Industrias Manufactureras Misceláneas    ","339","1","*","*","*"
"Aibonito","9","Comercio al por Mayor                    ","42","9","57","409769","7189"
"Aibonito","9","Comercio al Detal                        ","44-45","72","657","3137899","4774"
"Aibonito","9","Transportación y Almacenamiento           ","48-49","7","56","467484","8299"
"Aibonito","9","Información                              ","51","0","0","0","0"
"Aibonito","9","Finanzas y Seguros                       ","52","8","157","1582362","10079"
"Aibonito","9","Bienes Raíces, Renta o Arrendamiento     ","53","3","13","83528","6425"
"Aibonito","9","Servicios Profesionales y Técnicos       ","54","21","57","437319","7717"
"Aibonito","9","Gerencia de Companías y Empresas         ","55","0","0","0","0"
"Aibonito","9","Servicios Adm. y Desperdicios Sólidos    ","56","5","*","*","*"
"Aibonito","9","Servicios Educativos                     ","61","3","447","3363720","7531"
"Aibonito","9","Servicios de Salud y Asistencia Social   ","62","63","1627","14519977","8923"
"Aibonito","9","Arte, Entretenimiento y Recreación       ","71","1","*","*","*"
"Aibonito","9","Alojamiento y Servicios de Alimentos     ","72","31","281","715832","2550"
"Aibonito","9","Otros Servicios Excepto Adm. Pública     ","81","14","35","137587","3931"
"Aibonito","9","Administración Pública                   ","92","15","721","4892715","6783"
"Aibonito","9","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Añasco","11","Total Municipio Cuarto Trimestre 2020 ","","264","4831","39772811","8232"
"Añasco","11","Agricultura, Bosque, Pesca y Caza        ","11","11","29","55403","1933"
"Añasco","11","Mineria                                  ","21","1","*","*","*"
"Añasco","11","Electricidad, Agua y Gas                 ","22","1","*","*","*"
