town_code,naics,establishments,year,town_name,region
1,72,19.0,2013,Adjuntas,Mountain
1,72,1.0,2013,Adjuntas,Mountain
1,72,1.0,2013,Adjuntas,Mountain
1,72,1.0,2013,Adjuntas,Mountain
1,72,1.0,2013,Adjuntas,Mountain
1,72,18.0,2013,Adjuntas,Mountain
1,72,1.0,2013,Adjuntas,Mountain
1,72,1.0,2013,Adjuntas,Mountain
1,72,1.0,2013,Adjuntas,Mountain
1,72,17.0,2013,Adjuntas,Mountain
1,72,17.0,2013,Adjuntas,Mountain
1,72,6.0,2013,Adjuntas,Mountain
1,72,11.0,2013,Adjuntas,Mountain
1,81,8.0,2013,Adjuntas,Mountain
1,81,1.0,2013,Adjuntas,Mountain
1,81,1.0,2013,Adjuntas,Mountain
1,81,1.0,2013,Adjuntas,Mountain
1,81,1.0,2013,Adjuntas,Mountain
1,81,7.0,2013,Adjuntas,Mountain
1,81,5.0,2013,Adjuntas,Mountain
1,81,5.0,2013,Adjuntas,Mountain
1,81,5.0,2013,Adjuntas,Mountain
1,81,2.0,2013,Adjuntas,Mountain
1,81,2.0,2013,Adjuntas,Mountain
1,81,2.0,2013,Adjuntas,Mountain
3,23,23.0,2013,Aguada,Western
3,23,15.0,2013,Aguada,Western
3,23,12.0,2013,Aguada,Western
3,23,12.0,2013,Aguada,Western
3,23,4.0,2013,Aguada,Western
3,23,1.0,2013,Aguada,Western
3,23,7.0,2013,Aguada,Western
3,23,3.0,2013,Aguada,Western
3,23,3.0,2013,Aguada,Western
3,23,3.0,2013,Aguada,Western
3,23,1.0,2013,Aguada,Western
3,23,1.0,2013,Aguada,Western
3,23,1.0,2013,Aguada,Western
3,23,1.0,2013,Aguada,Western
3,23,7.0,2013,Aguada,Western
3,23,1.0,2013,Aguada,Western
3,23,1.0,2013,Aguada,Western
3,23,1.0,2013,Aguada,Western
3,23,1.0,2013,Aguada,Western
3,23,1.0,2013,Aguada,Western
3,23,1.0,2013,Aguada,Western
3,23,4.0,2013,Aguada,Western
3,23,4.0,2013,Aguada,Western
3,23,4.0,2013,Aguada,Western
3,23,1.0,2013,Aguada,Western
3,23,1.0,2013,Aguada,Western
3,23,1.0,2013,Aguada,Western
3,31,29.0,2013,Aguada,Western
3,31,14.0,2013,Aguada,Western
3,31,1.0,2013,Aguada,Western
3,31,1.0,2013,Aguada,Western
3,31,1.0,2013,Aguada,Western
