"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALARIO TOTAL","Promedio"
"Aguas Buenas","7","Total Municipio Primer Trimestre 2020","11","147","  1,684 ","  8,323,648 ","  4,943 "
"Aguas Buenas","7","Agricultura, Bosque, Pesca y Caza        ","11","4","  25 ","  65,639 ","  2,626 "
"Aguas Buenas","7","Mineria                                  ","21","0","0","0","0"
"Aguas Buenas","7","Electricidad, Agua y Gas                 ","22","1","*","*","*"
"Aguas Buenas","7","Construcción                             ","23","13","  130 ","  719,533 ","  5,535 "
"Aguas Buenas","7","Manufactura                              ","31-33","9","  96 ","  400,134 ","  4,183 "
"Aguas Buenas","7","Alimentos                                ","311","5","  42 ","  164,489 ","  3,886 "
"Aguas Buenas","7","Productos de Tabaco y Bebidas            ","312","0","0","0","0"
"Aguas Buenas","7","Textiles                                 ","313","0","0","0","0"
"Aguas Buenas","7","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Aguas Buenas","7","Ropa                                     ","315","1","*","*","*"
"Aguas Buenas","7","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Aguas Buenas","7","Productos de Madera                      ","321","0","0","0","0"
"Aguas Buenas","7","Papel                                    ","322","0","0","0","0"
"Aguas Buenas","7","Imprenta e Industrias Relacionadas       ","323","1","*","*","*"
"Aguas Buenas","7","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Aguas Buenas","7","Productos Químicos                       ","325","0","0","0","0"
"Aguas Buenas","7","Productos de Goma y Plásticos            ","326","0","0","0","0"
"Aguas Buenas","7","Productos Minerales no Metálicos         ","327","1","*","*","*"
"Aguas Buenas","7","Industrias de Materiales Primarios       ","331","0","0","0","0"
"Aguas Buenas","7","Productos de Metal                       ","332","1","*","*","*"
"Aguas Buenas","7","Maquinaria                               ","333","0","0","0","0"
"Aguas Buenas","7","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Aguas Buenas","7","Equipo y Aparatos Eléctricos             ","335","0","0","0","0"
"Aguas Buenas","7","Equipo de Transportación                 ","336","0","0","0","0"
"Aguas Buenas","7","Muebles y Productos Relacionados         ","337","0","0","0","0"
"Aguas Buenas","7","Industrias Manufactureras Misceláneas    ","339","0","0","0","0"
"Aguas Buenas","7","Comercio al por Mayor                    ","42","8","  28 ","  173,062 ","  6,181 "
"Aguas Buenas","7","Comercio al Detal                        ","44-45","32","  341 ","  1,534,068 ","  4,503 "
"Aguas Buenas","7","Transportación y Almacenamiento           ","48-49","6","  29 ","  156,038 ","  5,319 "
"Aguas Buenas","7","Información                              ","51","1","*","*","*"
"Aguas Buenas","7","Finanzas y Seguros                       ","52","3","  52 ","  432,159 ","  8,258 "
"Aguas Buenas","7","Bienes Raíces, Renta o Arrendamiento     ","53","5","  17 ","  44,639 ","  2,626 "
"Aguas Buenas","7","Servicios Profesionales y Técnicos       ","54","7","  19 ","  126,061 ","  6,635 "
"Aguas Buenas","7","Gerencia de Compañías y Empresas         ","55","0","0","0","0"
"Aguas Buenas","7","Servicios Adm. y Desperdicios Sólidos    ","56","2","*","*","*"
"Aguas Buenas","7","Servicios Educativos                     ","61","3","  325 ","  2,084,386 ","  6,420 "
"Aguas Buenas","7","Servicios de Salud y Asistencia Social   ","62","25","  98 ","  530,188 ","  5,429 "
"Aguas Buenas","7","Arte, Entretenimiento y Recreación       ","71","2","*","*","*"
"Aguas Buenas","7","Alojamiento y Servicios de Alimentos     ","72","10","  86 ","  258,567 ","  2,995 "
"Aguas Buenas","7","Otros Servicios Excepto Adm. Pública     ","81","6","  14 ","  36,756 ","  2,689 "
"Aguas Buenas","7","Administracion Pública                   ","92","10","  386 ","  1,546,746 ","  4,004 "
"Aguas Buenas","7","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Aibonito","9","Total Municipio Primer Trimestre 2020","11","319","  5,757 ","  37,048,412 ","  6,435 "
"Aibonito","9","Agricultura, Bosque, Pesca y Caza        ","11","29","  163 ","  548,855 ","  3,360 "
"Aibonito","9","Mineria                                  ","21","0","0","0","0"
"Aibonito","9","Electricidad, Agua y Gas                 ","22","1","*","*","*"
"Aibonito","9","Construcción                             ","23","9","  41 ","  161,378 ","  3,936 "
"Aibonito","9","Manufactura                              ","31-33","22","  1,369 ","  11,608,505 ","  8,480 "
"Aibonito","9","Alimentos                                ","311","11","*","*","*"
"Aibonito","9","Productos de Tabaco y Bebidas            ","312","2","*","*","*"
"Aibonito","9","Textiles                                 ","313","0","0","0","0"
"Aibonito","9","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Aibonito","9","Ropa                                     ","315","1","*","*","*"
"Aibonito","9","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Aibonito","9","Productos de Madera                      ","321","0","0","0","0"
"Aibonito","9","Papel                                    ","322","0","0","0","0"
"Aibonito","9","Imprenta e Industrias Relacionadas       ","323","1","*","*","*"
"Aibonito","9","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Aibonito","9","Productos Químicos                       ","325","1","*","*","*"
"Aibonito","9","Productos de Goma y Plásticos            ","326","0","0","0","0"
"Aibonito","9","Productos Minerales no Metálicos         ","327","1","*","*","*"
"Aibonito","9","Industrias de Materiales Primarios       ","331","0","0","0","0"
"Aibonito","9","Productos de Metal                       ","332","0","0","0","0"
"Aibonito","9","Maquinaria                               ","333","0","0","0","0"
"Aibonito","9","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Aibonito","9","Equipo y Aparatos Eléctricos             ","335","1","*","*","*"
"Aibonito","9","Equipo de Transportación                 ","336","1","*","*","*"
"Aibonito","9","Muebles y Productos Relacionados         ","337","2","*","*","*"
"Aibonito","9","Industrias Manufactureras Misceláneas    ","339","1","*","*","*"
"Aibonito","9","Comercio al por Mayor                    ","42","9","  54 ","  288,781 ","  5,315 "
"Aibonito","9","Comercio al Detal                        ","44-45","70","  652 ","  2,576,555 ","  3,952 "
"Aibonito","9","Transportación y Almacenamiento           ","48-49","9","  83 ","  451,581 ","  5,441 "
"Aibonito","9","Información                              ","51","0","0","0","0"
"Aibonito","9","Finanzas y Seguros                       ","52","8","  152 ","  1,324,231 ","  8,731 "
"Aibonito","9","Bienes Raíces, Renta o Arrendamiento     ","53","4","  14 ","  69,231 ","  4,945 "
"Aibonito","9","Servicios Profesionales y Técnicos       ","54","23","  54 ","  327,736 ","  6,069 "
"Aibonito","9","Gerencia de Compañías y Empresas         ","55","0","0","0","0"
"Aibonito","9","Servicios Adm. y Desperdicios Sólidos    ","56","5","*","*","*"
"Aibonito","9","Servicios Educativos                     ","61","4","  439 ","  2,795,074 ","  6,362 "
"Aibonito","9","Servicios de Salud y Asistencia Social   ","62","65","  1,601 ","  11,248,488 ","  7,026 "
"Aibonito","9","Arte, Entretenimiento y Recreación       ","71","1","*","*","*"
"Aibonito","9","Alojamiento y Servicios de Alimentos     ","72","30","  279 ","  684,158 ","  2,455 "
"Aibonito","9","Otros Servicios Excepto Adm. Pública     ","81","15","  48 ","  148,621 ","  3,075 "
"Aibonito","9","Administracion Pública                   ","92","15","  704 ","  4,316,941 ","  6,132 "
"Aibonito","9","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Añasco","11","Total Municipio Primer Trimestre 2020","11","266","  4,897 ","  37,625,083 ","  7,684 "
"Añasco","11","Agricultura, Bosque, Pesca y Caza        ","11","11","  30 ","  54,325 ","  1,791 "
"Añasco","11","Mineria                                  ","21","2","*","*","*"
"Añasco","11","Electricidad, Agua y Gas                 ","22","1","*","*","*"
"Añasco","11","Construcción                             ","23","10","  56 ","  205,919 ","  3,655 "
"Añasco","11","Manufactura                              ","31-33","28","  2,396 ","  26,931,678 ","  11,240 "
"Añasco","11","Alimentos                                ","311","10","  55 ","  99,293 ","  1,805 "
"Añasco","11","Productos de Tabaco y Bebidas            ","312","0","0","0","0"
"Añasco","11","Textiles                                 ","313","0","0","0","0"
"Añasco","11","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Añasco","11","Ropa                                     ","315","0","0","0","0"
"Añasco","11","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Añasco","11","Productos de Madera                      ","321","0","0","0","0"
"Añasco","11","Papel                                    ","322","0","0","0","0"
"Añasco","11","Imprenta e Industrias Relacionadas       ","323","2","*","*","*"
"Añasco","11","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Añasco","11","Productos Químicos                       ","325","0","0","0","0"
"Añasco","11","Productos de Goma y Plásticos            ","326","1","*","*","*"
"Añasco","11","Productos Minerales no Metálicos         ","327","0","0","0","0"
"Añasco","11","Industrias de Materiales Primarios       ","331","0","0","0","0"
"Añasco","11","Productos de Metal                       ","332","5","*","*","*"
"Añasco","11","Maquinaria                               ","333","0","0","0","0"
"Añasco","11","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Añasco","11","Equipo y Aparatos Eléctricos             ","335","1","*","*","*"
"Añasco","11","Equipo de Transportación                 ","336","0","0","0","0"
"Añasco","11","Muebles y Productos Relacionados         ","337","2","*","*","*"
"Añasco","11","Industrias Manufactureras Misceláneas    ","339","7","  2,051 ","  24,962,220 ","  12,171 "
"Añasco","11","Comercio al por Mayor                    ","42","10","  104 ","  676,698 ","  6,528 "
"Añasco","11","Comercio al Detal                        ","44-45","47","  472 ","  1,835,203 ","  3,888 "
"Añasco","11","Transportación y Almacenamiento           ","48-49","3","  50 ","  330,094 ","  6,558 "
"Añasco","11","Información                              ","51","4","  20 ","  256,196 ","  13,027 "
"Añasco","11","Finanzas y Seguros                       ","52","5","  79 ","  712,514 ","  9,019 "
"Añasco","11","Bienes Raíces, Renta o Arrendamiento     ","53","8","  22 ","  82,846 ","  3,766 "
"Añasco","11","Servicios Profesionales y Técnicos       ","54","12","  25 ","  200,326 ","  8,121 "
"Añasco","11","Gerencia de Compañías y Empresas         ","55","0","0","0","0"
"Añasco","11","Servicios Adm. y Desperdicios Sólidos    ","56","7","  13 ","  59,223 ","  4,676 "
"Añasco","11","Servicios Educativos                     ","61","4","  351 ","  2,039,735 ","  5,806 "
"Añasco","11","Servicios de Salud y Asistencia Social   ","62","47","  220 ","  705,142 ","  3,210 "
"Añasco","11","Arte, Entretenimiento y Recreación       ","71","1","*","*","*"
"Añasco","11","Alojamiento y Servicios de Alimentos     ","72","33","  430 ","  1,177,574 ","  2,736 "
"Añasco","11","Otros Servicios Excepto Adm. Pública     ","81","21","  63 ","  177,222 ","  2,813 "
"Añasco","11","Administracion Pública                   ","92","12","  550 ","  2,098,983 ","  3,819 "
"Añasco","11","Otros (Establecimientos no Clasificados) ","99","0","0","0","0"
"Arecibo","13","Total Municipio Primer Trimestre 2020","11","1091","  20,710 ","  131,657,466 ","  6,357 "
"Arecibo","13","Agricultura, Bosque, Pesca y Caza        ","11","57","  445 ","  1,317,149 ","  2,962 "
"Arecibo","13","Mineria                                  ","21","2","*","*","*"
"Arecibo","13","Electricidad, Agua y Gas                 ","22","3","  505 ","  5,087,347 ","  10,067 "
"Arecibo","13","Construcción                             ","23","47","  548 ","  2,687,259 ","  4,907 "
"Arecibo","13","Manufactura                              ","31-33","39","  2,919 ","  23,924,944 ","  8,195 "
"Arecibo","13","Alimentos                                ","311","18","  348 ","  1,391,313 ","  3,994 "
"Arecibo","13","Productos de Tabaco y Bebidas            ","312","1","*","*","*"
"Arecibo","13","Textiles                                 ","313","0","0","0","0"
"Arecibo","13","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Arecibo","13","Ropa                                     ","315","1","*","*","*"
"Arecibo","13","Cuero y Productos Relacionados           ","316","1","*","*","*"
"Arecibo","13","Productos de Madera                      ","321","0","0","0","0"
"Arecibo","13","Papel                                    ","322","1","*","*","*"
"Arecibo","13","Imprenta e Industrias Relacionadas       ","323","1","*","*","*"
"Arecibo","13","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Arecibo","13","Productos Químicos                       ","325","1","*","*","*"
"Arecibo","13","Productos de Goma y Plásticos            ","326","0","0","0","0"
"Arecibo","13","Productos Minerales no Metálicos         ","327","2","*","*","*"
"Arecibo","13","Industrias de Materiales Primarios       ","331","0","0","0","0"
"Arecibo","13","Productos de Metal                       ","332","6","  13 ","  30,696 ","  2,361 "
"Arecibo","13","Maquinaria                               ","333","1","*","*","*"
"Arecibo","13","Computadora y Productos Electrónicos    ","334","1","*","*","*"
"Arecibo","13","Equipo y Aparatos Eléctricos             ","335","2","*","*","*"
"Arecibo","13","Equipo de Transportación                 ","336","0","0","0","0"
"Arecibo","13","Muebles y Productos Relacionados         ","337","2","*","*","*"
"Arecibo","13","Industrias Manufactureras Misceláneas    ","339","1","*","*","*"
"Arecibo","13","Comercio al por Mayor                    ","42","39","  181 ","  1,069,397 ","  5,919 "
"Arecibo","13","Comercio al Detal                        ","44-45","231","  2,169 ","  10,177,266 ","  4,691 "
"Arecibo","13","Transportación y Almacenamiento           ","48-49","27","  282 ","  2,058,028 ","  7,298 "
"Arecibo","13","Información                              ","51","12","  199 ","  1,342,565 ","  6,735 "
"Arecibo","13","Finanzas y Seguros                       ","52","35","  592 ","  5,095,817 ","  8,613 "
"Arecibo","13","Bienes Raíces, Renta o Arrendamiento     ","53","27","  88 ","  671,941 ","  7,636 "
"Arecibo","13","Servicios Profesionales y Técnicos       ","54","75","  327 ","  2,713,521 ","  8,307 "
"Arecibo","13","Gerencia de Compañías y Empresas         ","55","2","*","*","*"
"Arecibo","13","Servicios Adm. y Desperdicios Sólidos    ","56","32","  398 ","  2,097,513 ","  5,275 "
"Arecibo","13","Servicios Educativos                     ","61","18","  2,835 ","  19,539,876 ","  6,892 "
