"fipstate","fipscty","naics","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","n1_4","n5_9","n10_19","n20_49","n50_99","n100_249","n250_499","n500_999","n1000","n1000_1","n1000_2","n1000_3","n1000_4","censtate","cencty"
72,61,"42311/","A","D",0,"D",0,"D",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,61
72,61,"423110","A","D",0,"D",0,"D",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,61
72,61,"42312/","B","D",0,"D",0,"D",0,5,1,0,2,2,0,0,0,0,0,0,0,0,0,6,61
72,61,"423120","B","D",0,"D",0,"D",0,5,1,0,2,2,0,0,0,0,0,0,0,0,0,6,61
72,61,"42313/","B","D",0,"D",0,"D",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,61
72,61,"423130","B","D",0,"D",0,"D",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,61
72,61,"4232//","A","D",0,"D",0,"D",0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,6,61
72,61,"42321/","A","D",0,"D",0,"D",0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,61
72,61,"423210","A","D",0,"D",0,"D",0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,61
72,61,"42322/","A","D",0,"D",0,"D",0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,61
72,61,"423220","A","D",0,"D",0,"D",0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,61
72,61,"4233//","B","D",0,"D",0,"D",0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,6,61
72,61,"42331/","B","D",0,"D",0,"D",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,61
72,61,"423310","B","D",0,"D",0,"D",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,61
72,61,"42332/","B","D",0,"D",0,"D",0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,6,61
72,61,"423320","B","D",0,"D",0,"D",0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,6,61
72,61,"4234//","E","S",0,"S",0,"H",29876,20,6,4,4,4,2,0,0,0,0,0,0,0,0,6,61
72,61,"42342/","","G",31,"G",270,"G",1102,4,2,1,1,0,0,0,0,0,0,0,0,0,0,6,61
72,61,"423420","","G",31,"G",270,"G",1102,4,2,1,1,0,0,0,0,0,0,0,0,0,0,6,61
72,61,"42343/","","G",59,"G",1201,"G",4771,4,0,2,0,2,0,0,0,0,0,0,0,0,0,6,61
72,61,"423430","","G",59,"G",1201,"G",4771,4,0,2,0,2,0,0,0,0,0,0,0,0,0,6,61
72,61,"42344/","B","D",0,"D",0,"D",0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,6,61
72,61,"423440","B","D",0,"D",0,"D",0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,6,61
