"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALRIO Total Municipio Primr Trimestre 2022","Promedio"
"Aguadilla","5","Arte, Entretenimiento y Recreación       ","71","11","  126 ","  456,006 ","  3,629 "
"Aguadilla","5","Alojamiento y Servicios de Alimentos     ","72","113","  1,556 ","  5,349,782 ","  3,439 "
"Aguadilla","5","Otros Servicios Excepto Adm. Pública     ","81","48","  178 ","  766,234 ","  4,305 "
"Aguadilla","5","Administración Pública                   ","92","30","3520","34189414 ","9713 "
"Aguadilla","5","Otros (Establecimientos no Clasificados) ","99","18","  38 ","  248,132 ","  6,473 "
"Aguas Buenas","7","Total Municipio Primer Trimestre 2022 ","","156","  1,731 ","  8,920,226 ","  5,153 "
"Aguas Buenas","7","Agricultura, Bosque, Pesca y Caza        ","11","5","*","*","*"
"Aguas Buenas","7","Mineria                                  ","21","0","0","0","0"
"Aguas Buenas","7","Electricidad, Agua y Gas                 ","22","1","*","*","*"
"Aguas Buenas","7","Construcción                             ","23","17","  158 ","  903,308 ","  5,717 "
"Aguas Buenas","7","Manufactura                              ","31-33","9","  88 ","  368,534 ","  4,188 "
"Aguas Buenas","7","Alimentos                                ","311","4","  42 ","  147,373 ","  3,509 "
"Aguas Buenas","7","Productos de Tabaco y Bebidas            ","312","0","0","0","0"
"Aguas Buenas","7","Textiles                                 ","313","0","0","0","0"
"Aguas Buenas","7","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Aguas Buenas","7","Ropa                                     ","315","1","*","*","*"
"Aguas Buenas","7","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Aguas Buenas","7","Productos de Madera                      ","321","0","0","0","0"
"Aguas Buenas","7","Papel                                    ","322","0","0","0","0"
"Aguas Buenas","7","Imprenta e Industrias Relacionadas       ","323","1","*","*","*"
"Aguas Buenas","7","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Aguas Buenas","7","Productos Químicos                       ","325","0","0","0","0"
"Aguas Buenas","7","Productos de Goma y Plásticos            ","326","0","0","0","0"
"Aguas Buenas","7","Productos Minerales no Metálicos         ","327","1","*","*","*"
"Aguas Buenas","7","Industrias de Materiales Primarios       ","331","0","0","0","0"
"Aguas Buenas","7","Productos de Metal                       ","332","2","*","*","*"
"Aguas Buenas","7","Maquinaria                               ","333","0","0","0","0"
"Aguas Buenas","7","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Aguas Buenas","7","Equipo y Aparatos Eléctricos             ","335","0","0","0","0"
"Aguas Buenas","7","Equipo de Transportación                 ","336","0","0","0","0"
"Aguas Buenas","7","Muebles y Productos Relacionados         ","337","0","0","0","0"
"Aguas Buenas","7","Industrias Manufactureras Misceláneas    ","339","0","0","0","0"
"Aguas Buenas","7","Comercio al por Mayor                    ","42","8","  21 ","  149,939 ","  7,140 "
"Aguas Buenas","7","Comercio al Detal                        ","44-45","32","  310 ","  1,654,096 ","  5,330 "
"Aguas Buenas","7","Transportación y Almacenamiento           ","48-49","3","  27 ","  150,660 ","  5,580 "
"Aguas Buenas","7","Información                              ","51","0","0","0","0"
"Aguas Buenas","7","Finanzas y Seguros                       ","52","3","  50 ","  448,344 ","  9,027 "
"Aguas Buenas","7","Bienes Raíces, Renta o Arrendamiento     ","53","6","  23 ","  89,656 ","  3,842 "
"Aguas Buenas","7","Servicios Profesionales y Técnicos       ","54","7","  28 ","  121,825 ","  4,351 "
"Aguas Buenas","7","Gerencia de Companías y Empresas         ","55","0","0","0","0"
"Aguas Buenas","7","Servicios Adm. y Desperdicios Sólidos    ","56","2","*","*","*"
"Aguas Buenas","7","Servicios Educativos                     ","61","3","330","2081973 ","6309 "
"Aguas Buenas","7","Servicios de Salud y Asistencia Social   ","62","26","  104 ","  651,851 ","  6,248 "
"Aguas Buenas","7","Arte, Entretenimiento y Recreación       ","71","2","*","*","*"
"Aguas Buenas","7","Alojamiento y Servicios de Alimentos     ","72","12","  89 ","  280,195 ","  3,137 "
"Aguas Buenas","7","Otros Servicios Excepto Adm. Pública     ","81","6","  16 ","  75,970 ","  4,849 "
"Aguas Buenas","7","Administración Pública                   ","92","9","368","1513930 ","4118 "
"Aguas Buenas","7","Otros (Establecimientos no Clasificados) ","99","5","  15 ","  56,372 ","  3,844 "
"Aibonito","9","Total Municipio Primer Trimestre 2022 ","","333","  6,056 ","  42,032,775 ","  6,941 "
"Aibonito","9","Agricultura, Bosque, Pesca y Caza        ","11","29","  157 ","  624,864 ","  3,972 "
"Aibonito","9","Mineria                                  ","21","0","0","0","0"
"Aibonito","9","Electricidad, Agua y Gas                 ","22","3","  16 ","  148,312 ","  9,467 "
"Aibonito","9","Construcción                             ","23","10","  50 ","  255,976 ","  5,086 "
"Aibonito","9","Manufactura                              ","31-33","24","  1,536 ","  12,582,818 ","  8,194 "
"Aibonito","9","Alimentos                                ","311","13","*","*","*"
"Aibonito","9","Productos de Tabaco y Bebidas            ","312","2","*","*","*"
"Aibonito","9","Textiles                                 ","313","0","0","0","0"
