"fipstate","fipscty","naics","empflag","emp","qp1","ap","est","n1_4","n5_9","n10_19","n20_49","n50_99","n100_249","n250_499","n500_999","n1000","n1000_1","n1000_2","n1000_3","n1000_4","censtate","cencty"
"72","001","44422/","A",0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","444220","A",0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","445///",,84,190,836,7,5,0,1,0,1,0,0,0,0,0,0,0,0,"06","001"
"72","001","4451//","B",0,0,0,4,2,0,1,0,1,0,0,0,0,0,0,0,0,"06","001"
"72","001","44511/","A",0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","445110","A",0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","44512/","B",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"06","001"
"72","001","445120","B",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"06","001"
"72","001","4452//","A",0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","44521/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","445210","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","44529/","A",0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","445291","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","445299","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","446///",,16,51,212,4,2,2,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","4461//",,16,51,212,4,2,2,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","44611/",,16,51,212,4,2,2,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","446110",,16,51,212,4,2,2,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","447///",,7,17,97,6,6,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","4471//",,7,17,97,6,6,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","44711/",,4,8,64,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","447110",,4,8,64,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","44719/",,3,9,33,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","447190",,3,9,33,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","448///",,14,33,149,5,4,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","4481//","A",0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","44814/","A",0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","448140","A",0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","4482//","A",0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","44821/","A",0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","448210","A",0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","452///","B",0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,"06","001"
